price,address,beds,baths,sqft,link,lot_size
1120000.0,"54 Governor Winthrop Rd #54, Somerville, MA 02145",4,3,2352.0,https://www.zillow.com/homedetails/54-Governor-Winthrop-Rd-54-Somerville-MA-02145/2055467848_zpid/,0
2570000.0,"46 Browning Rd, Somerville, MA 02145",5,5,4458.0,https://www.zillow.com/homedetails/46-Browning-Rd-Somerville-MA-02145/56330440_zpid/,0
790000.0,"35 Henry St, Medford, MA 02155",4,2,2208.0,https://www.zillow.com/homedetails/35-Henry-St-Medford-MA-02155/56286013_zpid/,0
1880000.0,"64 Chandler St, Somerville, MA 02144",5,5,3002.0,https://www.zillow.com/homedetails/64-Chandler-St-Somerville-MA-02144/56326297_zpid/,0
1050000.0,"56 Gorham St #3, Somerville, MA 02144",2,2,1074.0,https://www.zillow.com/homedetails/56-Gorham-St-3-Somerville-MA-02144/80392195_zpid/,0
1500000.0,"16 Curtis St, Somerville, MA 02144",6,3,3425.0,https://www.zillow.com/homedetails/16-Curtis-St-Somerville-MA-02144/56325321_zpid/,0
750000.0,"5 Myrtle St UNIT 5, Somerville, MA 02145",2,2,976.0,https://www.zillow.com/homedetails/5-Myrtle-St-UNIT-5-Somerville-MA-02145/56334840_zpid/,0
775000.0,"21 Bow St, Somerville, MA 02143",3,1,1140.0,https://www.zillow.com/homedetails/21-Bow-St-Somerville-MA-02143/56537638_zpid/,0
1700000.0,"63 Putnam St #2, Somerville, MA 02143",4,4,2528.0,https://www.zillow.com/homedetails/63-Putnam-St-2-Somerville-MA-02143/2106052863_zpid/,0
1200000.0,"2 Glenwood Rd, Somerville, MA 02145",3,3,2230.0,https://www.zillow.com/homedetails/2-Glenwood-Rd-Somerville-MA-02145/56329512_zpid/,0
1160000.0,"102 Thurston St #A, Somerville, MA 02145",3,3,1959.0,https://www.zillow.com/homedetails/102-Thurston-St-A-Somerville-MA-02145/2060668112_zpid/,0
1030000.0,"23 Benedict St, Somerville, MA 02145",6,3,2549.0,https://www.zillow.com/homedetails/23-Benedict-St-Somerville-MA-02145/56334564_zpid/,0
960000.0,"375 Canal St #601, Somerville, MA 02145",2,2,1092.0,https://www.zillow.com/homedetails/375-Canal-St-601-Somerville-MA-02145/306207275_zpid/,0
1150000.0,"375 Canal St #811, Somerville, MA 02145",2,2,1143.0,https://www.zillow.com/homedetails/375-Canal-St-811-Somerville-MA-02145/306207317_zpid/,0
1220000.0,"22 Sargent Ave, Somerville, MA 02145",6,3,2987.0,https://www.zillow.com/homedetails/22-Sargent-Ave-Somerville-MA-02145/56332564_zpid/,0
1430000.0,"45 Cedar St, Somerville, MA 02143",3,3,2801.0,https://www.zillow.com/homedetails/45-Cedar-St-Somerville-MA-02143/56537236_zpid/,0
1350000.0,"55 Derby St, Somerville, MA 02145",4,4,2438.0,https://www.zillow.com/homedetails/55-Derby-St-Somerville-MA-02145/56332467_zpid/,0
830000.0,"240 Mystic Ave #202, Somerville, MA 02145",3,2,1415.0,https://www.zillow.com/homedetails/240-Mystic-Ave-202-Somerville-MA-02145/2059301847_zpid/,0
1260000.0,"7 Brook St, Somerville, MA 02145",3,3,2404.0,https://www.zillow.com/homedetails/7-Brook-St-Somerville-MA-02145/56333973_zpid/,0
1630000.0,"39 Meacham Rd, Somerville, MA 02144",5,2.5,1855.0,https://www.zillow.com/homedetails/39-Meacham-Rd-Somerville-MA-02144/271379051_zpid/,0
1910000.0,"55 Dover St, Somerville, MA 02144",5,4,4108.0,https://www.zillow.com/homedetails/55-Dover-St-Somerville-MA-02144/56326949_zpid/,0
1220000.0,"19 Howe St, Somerville, MA 02145",3,3,2132.0,https://www.zillow.com/homedetails/19-Howe-St-Somerville-MA-02145/56331627_zpid/,0
475000.0,"41 1/2 Derby St UNIT 2, Somerville, MA 02145",2,1,1050.0,https://www.zillow.com/homedetails/41-1-2-Derby-St-UNIT-2-Somerville-MA-02145/84767225_zpid/,0
